Video_ID	showup	beauty
1006314	0	
1011058	1	3.175176500000001
1018380	0	
1020088	0	
1021760	0	
1022108	0	
1024862	1	2.5741580183574806
1028030	1	3.0433696849315064
1030976	0	
1035472	1	2.234558420378151
1046306	1	2.6449473274049207
1046724	1	3.264712346956522
1051430	0	
1053272	1	3.844120779999999
1053462	1	3.1855344743902454
1057242	0	
1062092	0	
1070968	1	4.037366741287876
1073430	1	3.511149232885903
1078520	1	2.635589363071894
1091206	1	2.5641256386281572
1095116	1	2.357804966375544
109988	1	2.76627491764706
1100054	0	
1100504	1	2.4487208299837935
1100510	1	2.722827665301207
1102462	0	
1107954	1	3.160856527155172
1110470	1	3.2990287442307706
1113822	1	3.9882985577639807
1125506	1	2.834168566666667
1131280	0	
1136912	1	2.4727166770142177
1138208	1	2.9125313006379585
1154162	0	
116128	0	
1162298	0	
1170626	0	
1172716	1	2.8096855485804415
1182080	0	
1185108	1	3.6530773857740586
1187084	0	
1188230	1	2.7065318878698226
1188236	1	2.9636727862542926
1200206	0	
1200484	1	2.391201751877132
1202988	1	2.6891203651260485
1208856	1	3.064765114847165
1210588	0	
121372	0	
1218552	0	
1218896	1	4.338949828125
1220862	1	2.5673932482698985
1221004	1	2.9958445004237317
1223900	1	3.3404800294294277
1224262	0	
1233350	1	2.458900657462686
1233778	1	2.751233798605577
1252312	1	2.520768648026317
1252816	1	2.0024164815789476
1263966	0	
1265646	0	
1267860	1	2.641128417777779
1273030	1	3.0822118008410455
1276364	1	2.546537661555554
1282106	0	
1282650	1	3.164848649488054
1284012	1	3.2590236723214283
1284912	1	2.3280736106666664
1285950	1	4.2890890170212765
1300788	1	3.1580022800000003
1301132	1	3.146196805360443
1301302	1	2.3999007465116287
1302322	1	2.6872185079173847
130298	1	3.454399314893617
1303001	0	
1309874	1	2.4285365960674152
1313406	1	3.2634450674999997
1316818	1	2.83404680657244
1317578	1	2.5220938594890523
1318638	0	
1319136	1	3.7406948083333336
1320968	0	
1322900	0	
1326708	1	2.5546279743589753
1327966	1	3.187718270909092
1329178	0	
1333462	1	2.3000099036603223
1333638	1	3.2045306855421676
1333646	1	3.184613330769229
133428	1	2.607515019331243
1334808	1	2.6328913130303024
1335422	0	
1338478	1	3.110096894117648
1342930	0	
1345142	1	2.524725232907347
1345224	1	2.5649219084444432
1345598	1	2.836098400000001
1346028	0	
1349152	1	2.4476513055397717
1349394	1	3.9592887734615356
1349672	1	2.287026697495824
1350350	0	
1355782	0	
1356742	1	2.8110589387096785
1360610	1	2.5392261836555345
1362676	1	2.3392386824166675
1363174	0	
1368274	1	3.0596602927219814
1377098	1	2.9261571942592575
1381898	0	
1384082	1	2.1159215763829775
1388532	0	
1388706	1	2.4326506568400768
1391362	1	2.4320082667232596
1395988	1	3.5935786781094508
1400386	1	3.3740928412100453
1400902	1	2.765589634782609
1401278	0	
1405120	1	3.5002305578947337
1410116	1	2.335632628366013
1413832	0	
1416724	1	2.4989252570455087
1418956	1	3.1004857876006446
1419424	1	2.6661811387096774
1422012	1	2.7785413674418606
1422920	0	
1424568	0	
1426598	0	
1430666	0	
1450854	1	2.3512714480769223
1452622	0	
145404	1	2.9214356315315317
1455316	1	3.1233479131147543
1458300	1	2.3536834792452828
1458760	1	3.164245075675673
1459548	1	2.318399100596424
1461614	1	3.0597418884531558
1465626	1	2.736554853424656
1469268	1	3.1129887527985067
1471502	1	2.6555883566990275
1472580	1	2.7415019811320764
1472624	1	2.53320252334448
1472970	1	2.5678996385554447
1474372	1	2.4097161904282136
1485660	0	
1488874	1	2.827388821999998
1489936	0	
149178	0	
1492688	1	2.479453450925925
1497438	1	2.390651240143369
1501272	0	
1513132	1	3.0539462752293574
1513220	1	3.0526160019138757
1513436	1	3.6143706975258874
1521806	1	2.4500125207217716
1523014	1	3.0347560292929283
1524204	0	
1527712	0	
1529772	0	
1531082	1	3.151123517499999
153210	0	
1533908	1	2.991562020034247
1539736	1	2.747636879099677
1546132	1	2.3615729326822876
1547758	1	2.8180528435929686
1549364	0	
1552848	1	2.4692202290220835
1554244	1	2.942870505882353
1556638	1	3.566216935714286
1557242	1	2.5164752061855693
1559938	1	2.4471373189552246
1560952	0	
1562686	1	3.7842478760869573
1562936	0	
1563408	1	3.5573223353810226
1564910	0	
1565920	1	2.44415074638219
1568142	0	
1569868	1	2.364040598717946
1571788	0	
1576378	0	
1581730	1	2.3168154687211118
1586264	0	
158830	1	3.361747228169015
1592366	0	
1595104	0	
160322	0	
1606448	1	3.4584394124999993
1607044	1	3.1804075769230797
1607526	1	3.745783532453569
1614930	0	
1623098	1	2.4735149417322835
1624332	1	2.246395726300151
1624750	1	2.6060821055780474
1628882	1	3.2497265633101233
1629534	0	
1633068	1	2.6887547794007505
1635660	0	
1636324	0	
1637824	1	2.892269787896253
1640530	1	3.395925934782608
1640772	1	2.394276874277459
1643336	0	
1644756	1	2.6189894178947357
1645996	1	2.4810016622489943
1647060	1	2.755275174999999
1649392	1	2.428733199145299
1663032	0	
1665514	1	3.08316915
1670850	0	
1679576	1	2.4180844727524238
1687202	1	4.112482391390728
1692098	1	3.580400533004922
1697444	1	2.192870586538461
1697736	1	3.2534883378048787
1700358	1	2.922683932478632
1700904	1	2.3918255452088455
1701240	0	
1705404	1	2.7673661659722226
1712100	0	
1712752	1	3.4500895421052626
1719914	1	3.500603791575093
1726984	1	2.6918391516831734
1730136	1	2.8229740136363635
1738924	1	3.0931413217647044
1739174	1	2.578363876724137
1742040	1	3.1127394982278447
1750986	0	
1751094	0	
1753904	0	
1778242	0	
1785552	1	3.597709826633163
1793104	0	
1810786	1	1.9490590106529202
1817058	1	2.950048986031745
1853968	1	2.4934160928571423
1860222	1	2.97648815614035
1868702	0	
188418	0	
1892254	0	
1892272	1	3.0141300800000006
1898470	1	2.4024484842633957
1899814	0	
1900620	0	
1900628	0	
1906732	0	
1910506	1	3.207573617888563
1913522	1	3.3925983535714295
1913642	1	3.1043348269064763
1922804	0	
1934778	1	3.587912343269227
1939158	0	
1949606	0	
1949608	0	
1949620	0	
1958384	1	4.14380741030303
1959622	0	
1981560	0	
1981720	0	
1981732	0	
1983860	0	
1989682	0	
1989694	0	
1989696	0	
1989698	0	
199136	0	
1994122	0	
1994178	1	2.642295169498912
1999244	1	2.530472594758063
2003212	0	
2004106	0	
2004120	0	
2004126	0	
